target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoEpi4_27141trans,2.17E-20,3.67E-17,-3.087666064,0.333668247,4.060094672,2.914768205,0.033774433,0.188894565,0.146519286,0.188894565
ApoGas4_47757trans,6.89E-18,5.84E-15,5.122267126,0.594461216,1.867986382,7.510224056,3.11E-31,0.016054563,0.706768275,0.706768275
ApoEpi2_8202trans,2.06E-16,1.16E-13,-3.387907873,0.412218597,4.847553123,3.570704225,0.052462088,0.287386256,0.119258491,0.287386256
SymEpi1_31468trans,5.31E-15,2.25E-12,-4.907877446,0.627660083,1.760791542,7.537082578,3.11E-31,0.764176,0.787914359,0.787914359
ApoEpi3_27415trans,2.52E-14,8.52E-12,-3.776921751,0.495590408,3.535895647,4.496799152,0.135329593,0.355890113,0.182699497,0.355890113
ApoEpi1_11534trans,3.61E-14,1.02E-11,-2.46172587,0.325005766,4.841467707,1.912533357,0.031845071,0.179412425,0.119404253,0.179412425
SymEpi4_16653trans,4.32E-13,1.05E-10,-3.788667385,0.522928368,3.270741868,4.569921435,0.16871206,0.378196097,0.208612983,0.378196097
SymEpi4_9669trans,2.74E-11,5.80E-09,-2.948592041,0.442743802,3.808158491,2.820093562,0.064677697,0.327366451,0.162225637,0.327366451
ApoEpi4_8819trans,7.77E-11,1.46E-08,-3.526846746,0.54217055,2.992295601,4.02934316,0.339820698,0.214863666,0.248077113,0.248077113
ApoEpi3_15424trans,1.13E-10,1.91E-08,-2.494689823,0.38686102,5.854278575,2.034698858,0.011129557,0.288193341,0.102600146,0.288193341
SymEpi3_52109trans,1.81E-10,2.78E-08,-2.492274973,0.39081908,4.104527532,2.036534818,0.062272425,0.243206682,0.144253786,0.243206682
SymEpi4_37666trans,4.40E-10,6.21E-08,-3.093868678,0.495891745,5.745456297,3.156421467,0.010021474,0.481795772,0.103774209,0.481795772
SymGas4_42858trans,1.73E-09,2.26E-07,-1.752022156,0.290983575,4.226479025,0.953109131,0.030684786,0.058081988,0.138658096,0.138658096
ApoEpi3_15426trans,1.87E-09,2.27E-07,-2.550417069,0.424480267,4.350548317,2.167350916,0.024899723,0.335467271,0.133762625,0.335467271
SymEpi4_25033trans,2.23E-09,2.52E-07,-3.474939325,0.581075126,3.673081106,4.02888375,0.11040968,0.564886925,0.172201896,0.564886925
SymEpi4_11206trans,6.88E-09,7.05E-07,-2.030197055,0.35041404,3.492700565,1.385051608,0.059317967,0.182675547,0.186262031,0.186262031
SymEpi4_12116trans,7.08E-09,7.05E-07,-1.630266211,0.281613205,4.21519851,0.825341089,0.019471445,0.057503854,0.13914055,0.13914055
