target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas3_3706trans,5.41E-37,9.72E-34,7.284279737,0.573251683,2.948992688,15.72355321,0.000643507,0.656591478,0.384972733,0.656591478
SymEpi1_63161trans,9.79E-15,8.80E-12,5.079099678,0.656053923,2.168590417,8.013730004,0.081857527,0.668409632,0.778955974,0.778955974
SymGas3_76387trans,4.45E-12,2.66E-09,5.245148828,0.757725461,2.251614992,8.844706706,0.084037168,1.06425858,0.723755934,1.06425858
SymEpi4_22114trans,7.85E-12,3.52E-09,4.935078235,0.721368314,1.774391937,7.178376102,0.005395913,0.251043812,1.035348577,1.035348577
SymGas4_50890trans,4.29E-08,1.54E-05,4.220058146,0.770307105,1.416881893,5.413910433,0.015670285,0.364261634,1.171075786,1.171075786
SymGas2_82558trans,5.23E-08,1.57E-05,4.195643408,0.770785807,1.404674523,5.393390403,0.014936383,0.409544553,1.173285138,1.173285138
SymEpi2_90589trans,1.56E-07,4.01E-05,4.066415347,0.775268314,1.340060493,5.450714276,0.019983,0.827272397,1.182098916,1.182098916
SymGas4_72290trans,1.84E-07,4.13E-05,-3.77769218,0.724411407,2.122336004,4.977025579,0.041388715,1.008155059,0.812375023,1.008155059
SymGas3_81713trans,2.44E-07,4.88E-05,3.691001443,0.715040616,1.830574134,4.76891147,3.11E-31,1.022566166,1.006007724,1.022566166
SymEpi2_91740trans,4.29E-07,7.71E-05,3.93107347,0.777579385,1.272389554,4.955194488,0.023108374,0.606838988,1.186151025,1.186151025
SymGas3_27804trans,5.10E-07,8.33E-05,3.972706269,0.790992844,1.293205954,4.750498982,0.065873409,0.215577036,1.185465951,1.185465951
SymEpi2_28476trans,6.15E-07,9.20E-05,1.984712817,0.398013655,3.865508021,1.397021195,0.067892673,0.248937066,0.209357371,0.248937066
SymEpi1_5468trans,1.10E-06,0.000152517,3.81961419,0.783970801,1.53602862,4.638373275,0.088927099,0.459357535,1.140293336,1.140293336
SymEpi2_17018trans,1.36E-06,0.000173886,2.288328902,0.473632429,5.850975632,1.880690066,0.007618141,0.441037215,0.126021201,0.441037215
SymEpi1_2219trans,1.47E-06,0.000175693,3.749627142,0.778637063,1.18166639,4.765325323,0.029159328,0.84381898,1.183392023,1.183392023
SymEpi4_10641trans,1.71E-06,0.000191631,1.941662049,0.405754146,6.630321044,1.35939145,0.002590169,0.326682685,0.112788472,0.326682685
SymGas2_110771trans,1.92E-06,0.000202593,3.695118189,0.775973142,1.154411914,4.130914375,0.023500206,0.244600422,1.180768428,1.180768428
ApoGas1_29174trans,2.89E-06,0.000287927,3.582911892,0.765776937,1.098308765,3.753771563,3.11E-31,0.100314283,1.172828634,1.172828634
SymEpi1_24468trans,3.18E-06,0.000301049,3.619098157,0.776876199,1.116401898,4.177232917,0.031315239,0.476166008,1.17575802,1.17575802
SymEpi4_32623trans,3.69E-06,0.000307495,3.57618194,0.772750766,1.094943789,3.908243867,0.022041923,0.274550168,1.17224557,1.17224557
SymGas1_42998trans,3.77E-06,0.000307495,3.7201564,0.804556499,1.166931019,5.063837315,0.02881574,1.265806581,1.182074944,1.265806581
SymGas2_121830trans,3.75E-06,0.000307495,3.578382635,0.77377627,1.096044137,4.004874888,0.025021886,0.379058056,1.172437546,1.172437546
SymGas2_83697trans,4.27E-06,0.000333663,3.647252516,0.793287431,1.130479077,4.573859383,0.080814414,0.821204562,1.177795482,1.177795482
SymGas3_81522trans,5.50E-06,0.000411645,3.779093907,0.831534954,1.431901384,5.265786581,0.069712007,1.313188753,1.168120395,1.313188753
SymEpi4_30999trans,5.88E-06,0.000422581,3.604376688,0.79556659,1.109041163,4.039051278,0.091244148,0.290471906,1.174608251,1.174608251
SymEpi2_13007trans,6.21E-06,0.00042931,3.495782879,0.773584442,1.054744259,3.930845687,0.032500808,0.479986514,1.164364968,1.164364968
