target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas4_50890trans,1.72E-121,6.88E-118,7.536672208,0.321547894,3.075188923,16.3433738,0.000828341,0.132631771,0.205957755,0.205957755
SymGas3_81522trans,7.19E-116,1.44E-112,7.376921299,0.322404595,2.995313469,15.70701514,0.000752737,0.184442304,0.207136709,0.207136709
SymEpi2_90589trans,9.50E-114,1.26E-110,7.310587067,0.322522207,2.962146353,15.31448887,0.000561456,0.0514478,0.207479693,0.207479693
SymGas2_83697trans,4.20E-110,4.20E-107,7.21642804,0.323690468,2.91506684,14.90671173,0.001741594,0.03047754,0.207809445,0.207809445
SymGas2_101061trans,1.20E-105,9.55E-103,7.054874432,0.323168471,2.834290035,14.29873982,0.000954787,0.090490589,0.207920935,0.207920935
SymEpi4_30999trans,1.20E-103,7.96E-101,7.016488027,0.324555675,2.815096833,14.16597057,0.002813787,0.113783802,0.207858984,0.207858984
SymGas4_73083trans,2.29E-103,1.30E-100,6.977376656,0.323193775,2.795541148,13.9546209,0.001148737,0.05131398,0.207759695,0.207759695
SymGas3_27804trans,8.21E-102,4.10E-99,6.9259411,0.323299643,2.981296326,13.85822322,0.001752768,0.176620949,0.207292551,0.207292551
SymEpi2_76945trans,9.06E-101,4.02E-98,6.908316015,0.324173685,2.761010827,13.76654696,0.00268371,0.150011018,0.207493446,0.207493446
SymEpi4_22114trans,2.31E-100,9.24E-98,7.906211003,0.371766139,3.489897493,18.09640937,0.048210422,0.228209703,0.193592552,0.228209703
SymGas1_62772trans,6.42E-98,2.33E-95,6.769711968,0.322351902,2.691708803,13.2296543,0.001223749,0.157039563,0.206597748,0.206597748
SymGas1_57202trans,1.21E-97,4.03E-95,6.75553219,0.32214021,2.684618914,13.09576526,0.001070416,0.064917328,0.206478214,0.206478214
SymEpi2_80649trans,3.49E-97,1.07E-94,6.766957484,0.323461643,2.690331561,13.25391096,0.002679929,0.196311665,0.20657494,0.20657494
SymEpi1_8218trans,3.21E-95,9.15E-93,6.655717362,0.321475,2.6347115,12.74284786,0.001205992,0.099258645,0.205486359,0.205486359
SymGas4_50889trans,4.39E-95,1.17E-92,6.665226563,0.322169792,2.639466101,12.79353487,0.001994433,0.115381206,0.205592317,0.205592317
SymGas1_37883trans,3.04E-94,7.60E-92,6.620083992,0.321441778,2.616894816,12.55829614,0.001582068,0.041259408,0.205067566,0.205067566
SymEpi1_2219trans,9.74E-94,2.29E-91,6.596478757,0.321175605,2.605092198,12.55792602,0.001536409,0.144866621,0.204771129,0.204771129
