target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas1_13254trans,7.73E-14,1.69E-10,5.247300784,0.701994756,1.930503212,8.031167126,0.012518702,0.179121105,0.973074573,0.973074573
SymGas1_123069trans,1.13E-13,1.69E-10,5.208239277,0.70143599,1.910972458,7.804091117,0.016332038,0.046522145,0.967692859,0.967692859
SymGas2_110771trans,4.40E-14,1.69E-10,3.082041137,0.40829427,4.906145895,2.999772239,0.025178441,0.30822998,0.225230925,0.30822998
ApoEpi4_31174trans,4.59E-13,3.61E-10,-3.232821179,0.44670865,0.923263409,3.00617312,3.11E-31,0.023491049,0.399097236,0.399097236
ApoGas2_23875trans,2.39E-12,3.61E-10,-1.987317237,0.283523267,6.671005456,1.266212131,0.002056394,0.158714492,0.091987407,0.158714492
SymGas1_2220trans,6.82E-12,3.61E-10,4.037572894,0.588447387,1.325639266,4.989309069,0.02423039,0.362631899,0.668310264,0.668310264
SymGas1_16697trans,2.72E-12,3.61E-10,4.615224109,0.660127323,1.614464874,6.195547577,0.027909913,0.100131068,0.843626253,0.843626253
SymGas1_16855trans,5.65E-13,3.61E-10,4.971156885,0.689610383,1.792431262,7.183980247,0.023535236,0.120308129,0.927589725,0.927589725
SymGas1_22962trans,6.22E-12,3.61E-10,4.200445474,0.611016281,1.407075556,5.389492298,0.025557099,0.380936522,0.721124693,0.721124693
SymGas1_25581trans,6.00E-12,3.61E-10,3.180122071,0.462242985,0.896913855,3.073724019,0.045113488,0.169839071,0.382223667,0.382223667
SymGas1_29151trans,5.94E-12,3.61E-10,4.091033689,0.594527919,1.352369664,4.863192079,0.0210852,0.073786677,0.685841693,0.685841693
SymGas1_30521trans,8.05E-12,3.61E-10,3.609437727,0.527876598,1.111571683,3.775307648,0.033075765,0.028769588,0.52423164,0.52423164
SymGas1_37883trans,2.93E-12,3.61E-10,3.039626733,0.435411192,4.324535577,2.939404761,0.05221768,0.297310982,0.326948133,0.326948133
SymGas1_77387trans,5.53E-13,3.61E-10,3.20458826,0.444366889,4.503055828,3.272616431,0.055635828,0.339288036,0.290751592,0.339288036
SymGas1_96586trans,8.02E-12,3.61E-10,3.918729594,0.57306493,1.266217616,4.459452341,0.027993681,0.055886841,0.628813147,0.628813147
SymGas1_96873trans,6.85E-12,3.61E-10,3.44522249,0.502163226,1.029464065,3.477254203,0.035411443,0.064865792,0.468924369,0.468924369
SymGas1_96942trans,7.51E-12,3.61E-10,3.464740356,0.505972815,1.039222997,3.783830082,0.036562218,0.376430967,0.475454762,0.475454762
SymGas1_99557trans,1.25E-12,3.61E-10,4.762253502,0.670780016,1.687979571,6.562778028,0.019039884,0.077848342,0.880851776,0.880851776
SymGas1_103118trans,6.42E-12,3.61E-10,3.244130276,0.472221143,0.928917957,3.030125469,0.043240408,-0.01622111,0.402745209,0.402745209
SymGas1_105273trans,6.80E-12,3.61E-10,3.861032437,0.562682954,1.237369038,4.407568814,0.023792558,0.149180566,0.609431655,0.609431655
SymGas1_115896trans,4.11E-12,3.61E-10,3.430053739,0.494724041,1.021879689,3.457199587,0.025644068,0.085999232,0.463859686,0.463859686
SymGas1_120902trans,2.19E-12,3.61E-10,4.507941283,0.642017602,1.560823461,5.873901446,0.010143765,0.068896384,0.814229438,0.814229438
SymGas1_122063trans,6.46E-12,3.61E-10,2.985678287,0.43465159,0.799691963,2.716122516,0.055804969,0.141579688,0.322039041,0.322039041
SymGas1_127258trans,7.20E-12,3.61E-10,3.253855966,0.47476641,0.933780802,3.137334249,0.044916611,0.086113798,0.405889677,0.405889677
SymGas1_127521trans,3.43E-12,3.61E-10,4.331859643,0.622483125,1.472782641,5.534975613,0.012786499,0.189682393,0.762183984,0.762183984
SymGas1_135114trans,8.41E-12,3.61E-10,3.32166686,0.486241382,0.96768625,3.264339329,0.044872254,0.085700052,0.427989109,0.427989109
SymGas3_712trans,7.50E-12,3.61E-10,3.642000567,0.531854908,1.127853103,3.870474346,0.030473354,0.063690673,0.535265932,0.535265932
SymGas3_1981trans,6.05E-12,3.61E-10,3.920188534,0.569926676,1.266947087,4.572345338,0.020331119,0.191445727,0.629301712,0.629301712
SymGas3_21384trans,7.67E-12,3.61E-10,3.118123477,0.455556396,0.865914558,3.054688414,0.05240504,0.270500105,0.36265822,0.36265822
SymGas3_25092trans,5.57E-12,3.61E-10,4.229147318,0.613792639,1.421426479,5.330766229,0.023256308,0.23407528,0.730226499,0.730226499
SymGas3_27804trans,8.48E-13,3.61E-10,2.716017978,0.379694493,5.003625701,2.346479,0.076118739,0.20252221,0.212217077,0.212217077
SymGas3_36696trans,9.21E-13,3.61E-10,4.89197963,0.684981904,1.752842634,7.314686363,0.027607444,0.529038413,0.910792972,0.910792972
SymGas3_37279trans,8.26E-12,3.61E-10,3.806284209,0.55696563,1.209994924,4.375930743,0.029469101,0.246516939,0.590952325,0.590952325
SymGas3_44185trans,4.59E-12,3.61E-10,3.393093432,0.490502475,1.003399535,3.312243297,0.029624034,-0.003034533,0.451561323,0.451561323
SymGas3_99525trans,6.67E-12,3.61E-10,3.651711115,0.531960905,1.132708377,3.982212531,0.027406362,0.173510234,0.538558447,0.538558447
SymGas3_104440trans,6.61E-12,3.61E-10,3.817908323,0.556068267,1.215806981,4.336118542,0.023542221,0.176454756,0.594881614,0.594881614
SymGas3_106719trans,4.81E-12,3.61E-10,2.96433106,0.428916606,0.78901835,2.597559015,0.052281458,0.049117847,0.315657451,0.315657451
SymGas3_107668trans,5.89E-12,3.61E-10,3.255890144,0.473083482,0.934797892,3.110340972,0.041067767,0.054056489,0.406548195,0.406548195
