target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	1460.64	36	3.19668
ApoEc1_719trans	315	1185.55	0	0
ApoEc1_750trans	462	2311.57	2	0.112218
ApoEc1_1163trans	324	212.363	0	0
ApoEc1_1164trans	444	331.964	1.98533	0.775678
ApoEc1_1769trans	315	203.427	0	0
ApoEc1_1805trans	375	1479.76	26.9563	2.3627
ApoEc1_2088trans	489	376.911	0	0
ApoEc1_2214trans	300	443.204	0	0
ApoEc1_2672trans	1044	5993.48	0	0
ApoEc1_3432trans	534	2781.56	1.17894	0.0549724
ApoEc1_4567trans	399	946.369	58.604	8.0317
ApoEc1_4674trans	345	1651.04	47	3.69216
ApoEc1_4919trans	399	1673.51	1.7249	0.133683
ApoEc1_6235trans	339	227.226	0	0
ApoEc1_6236trans	468	2031.53	7.95246	0.507714
ApoEc1_7080trans	318	1049.82	175	21.6204
ApoEc1_7183trans	357	540.95	7.40027	1.77432
ApoEc1_7368trans	396	1585.62	5.04351	0.412549
ApoEc1_7391trans	306	1279.6	9.19553	0.932058
ApoEc1_7393trans	495	2435.68	0	0
ApoEc1_7394trans	495	2208.2	0	0
ApoEc1_7491trans	522	2960	0	0
ApoEc1_8106trans	522	409.911	18.2813	5.78441
ApoEc1_8303trans	309	662.824	0	0
ApoEc1_8304trans	315	1786.9	2.40934	0.174879
ApoEc1_8306trans	399	915.74	0	0
ApoEc1_9284trans	300	1302.78	8.15146	0.811533
ApoEc1_9293trans	405	1770.77	19.8475	1.45373
ApoEc1_9488trans	306	1251.87	0	0
ApoEc1_9490trans	585	3700.89	2.54015	0.0890212
ApoEc1_9620trans	441	1640.63	0	0
ApoEc1_10498trans	441	1920.61	367.858	24.8418
ApoEc1_11074trans	468	2382.32	83.8227	4.56354
ApoEc1_11144trans	1032	4692.76	5682.39	157.052
ApoEc1_11145trans	585	2364.47	46.2883	2.53909
ApoEc1_11232trans	348	1696.12	153	11.6997
ApoEc1_11534trans	1137	6870.09	72.7441	1.37333
ApoEc1_12163trans	333	1314.92	0	0
ApoEc1_12328trans	618	1136.17	44.3102	5.05827
ApoEc1_12460trans	357	245.118	0.299984	0.158732
ApoEc1_12893trans	525	1822.45	402.157	28.6208
ApoEc1_12985trans	315	499.132	3.65414	0.949535
ApoEc1_13281trans	444	1986.59	0	0
ApoEc1_13282trans	345	1424.33	2	0.182122
ApoEc1_13768trans	408	1613.08	8.28463	0.66613
ApoEc1_13869trans	384	1597.25	0	0
ApoEc1_13870trans	636	2852.61	3.89214	0.176965
ApoEc1_13871trans	1071	5528.25	1.41244	0.0331376
ApoEc1_13873trans	804	691.879	15.4796	2.90182
ApoEc1_13874trans	492	379.911	0	0
ApoEc1_14061trans	855	2012.98	0	0
ApoEc1_14062trans	408	1954.58	935.34	62.0664
ApoEc1_15335trans	462	3010.01	907.533	39.1053
ApoEc1_15850trans	396	1675.14	63.3338	4.90371
ApoEc1_15852trans	306	1229.65	2.46659	0.260169
ApoEc1_17401trans	900	5329.75	911	22.1693
ApoEc1_17775trans	429	1801.29	3.79712	0.273409
ApoEc1_17959trans	858	4495.07	1.40017	0.0404002
ApoEc1_19027trans	543	3390.89	0	0
ApoEc1_19028trans	408	901.479	6.55356	0.942893
ApoEc1_19029trans	1290	3146.13	320.451	13.2107
ApoEc1_19093trans	651	3233.18	3.15891	0.126721
ApoEc1_19094trans	438	1977.53	35.7966	2.34779
ApoEc1_19096trans	612	3187.4	1.4761	0.0600647
ApoEc1_19099trans	588	2708.22	53.6299	2.56841
ApoEc1_19100trans	390	698.598	0	0
ApoEc1_19228trans	321	1579.93	1.35965	0.111617
ApoEc1_19229trans	720	4227.21	77.3778	2.37412
ApoEc1_19231trans	303	1214.72	4.3334	0.462692
ApoEc1_19336trans	1020	5970.81	0	0
ApoEc1_19337trans	369	257.098	0	0
ApoEc1_19338trans	354	1449.12	166.372	14.8908
ApoEc1_19411trans	450	818.505	95.635	15.1543
ApoEc1_19432trans	297	1011.82	10.2418	1.31284
ApoEc1_19433trans	336	1271.92	53.6072	5.46644
ApoEc1_19638trans	402	1574.5	86	7.08428
ApoEc1_19748trans	399	2144.45	71.3492	4.31532
ApoEc1_20479trans	534	2348.71	31.8992	1.76153
ApoEc1_20482trans	348	1177.36	42.3546	4.66588
ApoEc1_21169trans	357	1965.32	30.9426	2.04204
ApoEc1_21921trans	336	224.279	0	0
ApoEc1_21923trans	429	1697.25	32.7316	2.50128
ApoEc1_21932trans	399	1672.59	3.08192	0.238986
ApoEc1_21933trans	435	2017.38	0	0
ApoEc1_21940trans	450	807.132	9	1.44624
ApoEc1_21941trans	537	424.879	0	0
ApoEc1_21942trans	303	988.118	12.8167	1.68232
ApoEc1_22156trans	450	2171.38	12.1779	0.727404
ApoEc1_22157trans	333	1206.52	4.75148	0.510782
ApoEc1_22277trans	315	1282.34	2.25959	0.228543
ApoEc1_22279trans	408	1806.16	2.64997	0.190294
ApoEc1_22333trans	300	188.611	0	0
ApoEc1_22456trans	519	2425.35	0	0
ApoEc1_22948trans	1068	6102.92	29.6189	0.629466
ApoEc1_22951trans	1347	3127.07	4623.73	191.776
ApoEc1_22957trans	612	499.879	0	0
ApoEc1_23142trans	375	1347.03	1393	134.126
ApoEc1_23501trans	309	397.191	7.04462	2.30038
ApoEc1_24213trans	735	3640.25	10.0835	0.359271
ApoEc1_24215trans	546	2872.83	3.42612	0.15468
ApoEc1_24223trans	333	495.93	20.2265	5.28983
ApoEc1_24224trans	354	553.724	2.00568	0.469796
ApoEc1_25755trans	309	197.536	0	0
ApoEc1_25952trans	366	1686.55	6.3583	0.488971
ApoEc1_25955trans	351	239.136	1.45429	0.788762
ApoEc1_26262trans	903	790.879	16.7701	2.75021
ApoEc1_26356trans	369	1572.6	0	0
ApoEc1_26358trans	315	437.033	89.6909	26.618
ApoEc1_26866trans	1575	3876	145.593	4.87189
ApoEc1_27275trans	411	1650.44	0	0
ApoEc1_27315trans	357	245.118	0	0
ApoEc1_27495trans	342	1169.82	8.90075	0.986848
ApoEc1_27909trans	300	188.611	0	0
ApoEc1_28148trans	540	2425.35	35.1946	1.8821
ApoEc1_28303trans	450	746.695	14.7887	2.56878
ApoEc1_28759trans	342	230.208	0	0
ApoEc1_28784trans	387	2141.61	4.60463	0.278866
ApoEc1_29449trans	312	470.628	2022.99	557.516
ApoEc1_29717trans	315	203.427	0	0
ApoEc1_29768trans	357	1506.26	34	2.92765
ApoEc1_30112trans	336	1168.93	5.61494	0.623012
ApoEc1_30245trans	327	1329.19	13	1.26852
ApoEc1_30571trans	315	203.427	0	0
ApoEc1_30661trans	330	218.296	0	0
ApoEc1_30710trans	405	293.014	0	0
ApoEc1_31002trans	342	230.208	2.29782	1.2946
ApoEc1_31053trans	366	254.098	0	0
ApoEc1_31055trans	348	236.155	0	0
ApoEc1_31081trans	705	3528.94	2.89762	0.106497
ApoEc1_31087trans	354	242.118	0	0
ApoEc1_31385trans	456	881.143	3.99525	0.588083
ApoEc1_31946trans	297	1203.94	123	13.2507
ApoEc1_33097trans	300	188.611	0	0
ApoEc1_33163trans	555	2627.42	0	0
ApoEc1_33459trans	501	2300.84	1	0.056371
ApoEc2_483trans	432	319.99	0	0
ApoEc2_551trans	906	6062.08	106.404	2.27655
ApoEc2_1991trans	372	1611.94	89.4044	7.19366
ApoEc2_2087trans	402	1480.73	0	0
ApoEc2_2764trans	531	924.126	53.5283	7.51265
ApoEc2_3194trans	741	4585.12	0	0
ApoEc2_3574trans	444	2180.54	6.8017	0.40457
ApoEc2_3575trans	300	862.492	1.31779	0.198167
ApoEc2_3674trans	720	3258.67	17.1819	0.683867
ApoEc2_3675trans	480	2007.12	0	0
ApoEc2_3679trans	300	1019.52	18.3997	2.34076
ApoEc2_4073trans	732	1589.54	0	0
ApoEc2_4074trans	1704	11313.3	0	0
ApoEc2_4402trans	444	2040.29	2.00204	0.127269
ApoEc2_4433trans	384	691.136	21.38	4.01222
ApoEc2_4434trans	384	1843.2	0	0
ApoEc2_4636trans	339	1551.03	14.8288	1.24002
ApoEc2_5884trans	354	1279.19	14.2518	1.44502
ApoEc2_6411trans	1581	8647.95	30.4779	0.457101
ApoEc2_7351trans	1224	7387.52	259.711	4.55966
ApoEc2_7353trans	894	5269.04	111.428	2.74286
ApoEc2_7368trans	372	1529.05	14.3429	1.21662
ApoEc2_7370trans	420	1718.67	12.5705	0.948641
ApoEc2_7465trans	471	2532.35	1.92638	0.0986645
ApoEc2_7466trans	366	1690.21	2.98579	0.229118
ApoEc2_8118trans	1227	2927.85	59.0857	2.61743
ApoEc2_8202trans	849	4584.09	49.5564	1.40213
ApoEc2_8253trans	639	526.879	9.8036	2.41332
ApoEc2_8254trans	711	3946.44	9.60779	0.315761
ApoEc2_9535trans	507	394.911	25.3099	8.3125
ApoEc2_9536trans	378	1528.31	9.35047	0.793529
ApoEc2_9688trans	399	1592.15	14.572	1.18707
ApoEc2_9689trans	618	2803.36	49.1722	2.275
ApoEc2_10139trans	354	242.118	0	0
ApoEc2_10140trans	324	1224.71	15.103	1.59944
ApoEc2_10141trans	372	1550.33	17.6413	1.47587
ApoEc2_10236trans	2367	16911.3	96.7113	0.741723
ApoEc2_10238trans	2367	17287.8	2.38863	0.0179205
ApoEc2_12488trans	336	460.337	3.86223	1.08818
ApoEc2_13001trans	3300	20811.3	4248.23	26.4758
ApoEc2_13274trans	1257	8675.61	167.435	2.50316
ApoEc2_13275trans	510	1096.66	32.3883	3.8305
ApoEc2_13276trans	861	5172.21	4.48303	0.112418
ApoEc2_13278trans	726	5014.62	205.432	5.31337
ApoEc2_13834trans	630	3258.01	19.863	0.790741
ApoEc2_14042trans	1425	3024.37	150.494	6.45394
ApoEc2_14043trans	1356	2862.03	115.282	5.22429
ApoEc2_15082trans	621	2914.35	2.01946	0.089874
ApoEc2_15084trans	351	1898.7	0	0
ApoEc2_15089trans	543	1119.57	0	0
ApoEc2_15090trans	1026	6162.14	83.2506	1.75225
ApoEc2_15093trans	390	1461.38	0	0
ApoEc2_15096trans	345	1471.06	21.2751	1.87578
ApoEc2_15097trans	348	236.155	19.8393	10.8961
ApoEc2_15339trans	357	245.118	0	0
ApoEc2_15345trans	465	352.938	0	0
ApoEc2_15572trans	465	2384.25	519.727	28.2725
ApoEc2_15579trans	336	1438.47	1.69662	0.152976
ApoEc2_16240trans	1191	6762.87	0	0
ApoEc2_16307trans	870	3870.39	1430	47.9206
ApoEc2_16567trans	1098	6300.96	6.08408	0.125236
ApoEc2_16940trans	360	248.118	0	0
ApoEc2_17824trans	684	3483.68	4.88041	0.181701
ApoEc2_18215trans	318	206.395	21.425	13.4636
