ko00010	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	T
ko00020	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	T
ko00030	00030 Pentose phosphate pathway [PATH:ko00030]	
ko00040	00040 Pentose and glucuronate interconversions [PATH:ko00040]	
ko00051	00051 Fructose and mannose metabolism [PATH:ko00051]	T
ko00052	00052 Galactose metabolism [PATH:ko00052]	T
ko00053	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	
ko00500	00500 Starch and sucrose metabolism [PATH:ko00500]	T
ko00520	00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	T
ko00620	00620 Pyruvate metabolism [PATH:ko00620]	T
ko00630	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	T
ko00640	00640 Propanoate metabolism [PATH:ko00640]	
ko00650	00650 Butanoate metabolism [PATH:ko00650]	
ko00660	00660 C5-Branched dibasic acid metabolism [PATH:ko00660]	
ko00562	00562 Inositol phosphate metabolism [PATH:ko00562]	
ko00190	00190 Oxidative phosphorylation [PATH:ko00190]	
ko00195	00195 Photosynthesis [PATH:ko00195]	
ko00196	00196 Photosynthesis - antenna proteins [PATH:ko00196]	
ko00710	00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]	T
ko00720	00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]	T
ko00680	00680 Methane metabolism [PATH:ko00680]	
ko00910	00910 Nitrogen metabolism [PATH:ko00910]	T
ko00920	00920 Sulfur metabolism [PATH:ko00920]	
ko00061	00061 Fatty acid biosynthesis [PATH:ko00061]	
ko00062	00062 Fatty acid elongation [PATH:ko00062]	
ko00071	00071 Fatty acid degradation [PATH:ko00071]	
ko00073	"00073 Cutin, suberine and wax biosynthesis [PATH:ko00073]"	
ko00100	00100 Steroid biosynthesis [PATH:ko00100]	
ko00120	00120 Primary bile acid biosynthesis [PATH:ko00120]	
ko00121	00121 Secondary bile acid biosynthesis [PATH:ko00121]	
ko00140	00140 Steroid hormone biosynthesis [PATH:ko00140]	
ko00561	00561 Glycerolipid metabolism [PATH:ko00561]	
ko00564	00564 Glycerophospholipid metabolism [PATH:ko00564]	
ko00565	00565 Ether lipid metabolism [PATH:ko00565]	
ko00600	00600 Sphingolipid metabolism [PATH:ko00600]	
ko00590	00590 Arachidonic acid metabolism [PATH:ko00590]	
ko00591	00591 Linoleic acid metabolism [PATH:ko00591]	
ko00592	00592 alpha-Linolenic acid metabolism [PATH:ko00592]	
ko01040	01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]	
ko00230	00230 Purine metabolism [PATH:ko00230]	
ko00240	00240 Pyrimidine metabolism [PATH:ko00240]	
ko00250	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	T
ko00260	"00260 Glycine, serine and threonine metabolism [PATH:ko00260]"	T
ko00270	00270 Cysteine and methionine metabolism [PATH:ko00270]	T
ko00280	"00280 Valine, leucine and isoleucine degradation [PATH:ko00280]"	
ko00290	"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"	T
ko00300	00300 Lysine biosynthesis [PATH:ko00300]	T
ko00310	00310 Lysine degradation [PATH:ko00310]	
ko00220	00220 Arginine biosynthesis [PATH:ko00220]	T
ko00330	00330 Arginine and proline metabolism [PATH:ko00330]	T
ko00340	00340 Histidine metabolism [PATH:ko00340]	T
ko00350	00350 Tyrosine metabolism [PATH:ko00350]	T
ko00360	00360 Phenylalanine metabolism [PATH:ko00360]	T
ko00380	00380 Tryptophan metabolism [PATH:ko00380]	T
ko00400	"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	T
ko00410	00410 beta-Alanine metabolism [PATH:ko00410]	T
ko00430	00430 Taurine and hypotaurine metabolism [PATH:ko00430]	T
ko00440	00440 Phosphonate and phosphinate metabolism [PATH:ko00440]	
ko00450	00450 Selenocompound metabolism [PATH:ko00450]	
ko00460	00460 Cyanoamino acid metabolism [PATH:ko00460]	T
ko00470	00470 D-Amino acid metabolism [PATH:ko00470]	T
ko00480	00480 Glutathione metabolism [PATH:ko00480]	
ko00510	00510 N-Glycan biosynthesis [PATH:ko00510]	
ko00513	00513 Various types of N-glycan biosynthesis [PATH:ko00513]	
ko00512	00512 Mucin type O-glycan biosynthesis [PATH:ko00512]	
ko00515	00515 Mannose type O-glycan biosynthesis [PATH:ko00515]	
ko00514	00514 Other types of O-glycan biosynthesis [PATH:ko00514]	
ko00532	00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate [PATH:ko00532]	
ko00534	00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin [PATH:ko00534]	
ko00533	00533 Glycosaminoglycan biosynthesis - keratan sulfate [PATH:ko00533]	
ko00531	00531 Glycosaminoglycan degradation [PATH:ko00531]	
ko00563	00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis [PATH:ko00563]	
ko00601	00601 Glycosphingolipid biosynthesis - lacto and neolacto series [PATH:ko00601]	
ko00603	00603 Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	
ko00604	00604 Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	
ko00511	00511 Other glycan degradation [PATH:ko00511]	
ko00540	00540 Lipopolysaccharide biosynthesis [PATH:ko00540]	
ko00542	00542 O-Antigen repeat unit biosynthesis [PATH:ko00542]	
ko00541	00541 O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	
ko00550	00550 Peptidoglycan biosynthesis [PATH:ko00550]	
ko00552	00552 Teichoic acid biosynthesis [PATH:ko00552]	
ko00571	00571 Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	
ko00572	00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	
ko00543	00543 Exopolysaccharide biosynthesis [PATH:ko00543]	
ko00730	00730 Thiamine metabolism [PATH:ko00730]	T
ko00740	00740 Riboflavin metabolism [PATH:ko00740]	T
ko00750	00750 Vitamin B6 metabolism [PATH:ko00750]	T
ko00760	00760 Nicotinate and nicotinamide metabolism [PATH:ko00760]	T
ko00770	00770 Pantothenate and CoA biosynthesis [PATH:ko00770]	T
ko00780	00780 Biotin metabolism [PATH:ko00780]	T
ko00785	00785 Lipoic acid metabolism [PATH:ko00785]	T
ko00790	00790 Folate biosynthesis [PATH:ko00790]	T
ko00670	00670 One carbon pool by folate [PATH:ko00670]	
ko00830	00830 Retinol metabolism [PATH:ko00830]	T
ko00860	00860 Porphyrin metabolism [PATH:ko00860]	
ko00130	00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	
ko00900	00900 Terpenoid backbone biosynthesis [PATH:ko00900]	
ko00902	00902 Monoterpenoid biosynthesis [PATH:ko00902]	
ko00909	00909 Sesquiterpenoid and triterpenoid biosynthesis [PATH:ko00909]	
ko00904	00904 Diterpenoid biosynthesis [PATH:ko00904]	
ko00906	00906 Carotenoid biosynthesis [PATH:ko00906]	
ko00905	00905 Brassinosteroid biosynthesis [PATH:ko00905]	
ko00981	00981 Insect hormone biosynthesis [PATH:ko00981]	
ko00908	00908 Zeatin biosynthesis [PATH:ko00908]	
ko00903	00903 Limonene and pinene degradation [PATH:ko00903]	
ko00281	00281 Geraniol degradation [PATH:ko00281]	
ko01052	01052 Type I polyketide structures [PATH:ko01052]	
ko00522	"00522 Biosynthesis of 12-, 14- and 16-membered macrolides [PATH:ko00522]"	
ko01051	01051 Biosynthesis of ansamycins [PATH:ko01051]	
ko01059	01059 Biosynthesis of enediyne antibiotics [PATH:ko01059]	
ko01056	01056 Biosynthesis of type II polyketide backbone [PATH:ko01056]	
ko01057	01057 Biosynthesis of type II polyketide products [PATH:ko01057]	
ko00253	00253 Tetracycline biosynthesis [PATH:ko00253]	
ko00523	00523 Polyketide sugar unit biosynthesis [PATH:ko00523]	
ko01054	01054 Nonribosomal peptide structures [PATH:ko01054]	
ko01053	01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	
ko01055	01055 Biosynthesis of vancomycin group antibiotics [PATH:ko01055]	
ko00940	00940 Phenylpropanoid biosynthesis [PATH:ko00940]	
ko00945	"00945 Stilbenoid, diarylheptanoid and gingerol biosynthesis [PATH:ko00945]"	
ko00941	00941 Flavonoid biosynthesis [PATH:ko00941]	
ko00944	00944 Flavone and flavonol biosynthesis [PATH:ko00944]	
ko00942	00942 Anthocyanin biosynthesis [PATH:ko00942]	
ko00943	00943 Isoflavonoid biosynthesis [PATH:ko00943]	
ko00946	00946 Degradation of flavonoids [PATH:ko00946]	
ko00901	00901 Indole alkaloid biosynthesis [PATH:ko00901]	
ko00403	00403 Indole diterpene alkaloid biosynthesis [PATH:ko00403]	
ko00950	00950 Isoquinoline alkaloid biosynthesis [PATH:ko00950]	
ko00960	"00960 Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	
ko00996	00996 Biosynthesis of various alkaloids [PATH:ko00996]	
ko00232	00232 Caffeine metabolism [PATH:ko00232]	
ko00965	00965 Betalain biosynthesis [PATH:ko00965]	
ko00966	00966 Glucosinolate biosynthesis [PATH:ko00966]	
ko00402	00402 Benzoxazinoid biosynthesis [PATH:ko00402]	
ko00311	00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]	
ko00332	00332 Carbapenem biosynthesis [PATH:ko00332]	
ko00261	00261 Monobactam biosynthesis [PATH:ko00261]	
ko00331	00331 Clavulanic acid biosynthesis [PATH:ko00331]	
ko00521	00521 Streptomycin biosynthesis [PATH:ko00521]	
ko00524	"00524 Neomycin, kanamycin and gentamicin biosynthesis [PATH:ko00524]"	
ko00525	00525 Acarbose and validamycin biosynthesis [PATH:ko00525]	
ko00401	00401 Novobiocin biosynthesis [PATH:ko00401]	
ko00404	00404 Staurosporine biosynthesis [PATH:ko00404]	
ko00405	00405 Phenazine biosynthesis [PATH:ko00405]	
ko00333	00333 Prodigiosin biosynthesis [PATH:ko00333]	
ko00254	00254 Aflatoxin biosynthesis [PATH:ko00254]	
ko00998	00998 Biosynthesis of various antibiotics [PATH:ko00998]	
ko00999	00999 Biosynthesis of various plant secondary metabolites [PATH:ko00999]	
ko00997	00997 Biosynthesis of various other secondary metabolites [PATH:ko00997]	
ko00362	00362 Benzoate degradation [PATH:ko00362]	
ko00627	00627 Aminobenzoate degradation [PATH:ko00627]	
ko00364	00364 Fluorobenzoate degradation [PATH:ko00364]	
ko00625	00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]	
ko00361	00361 Chlorocyclohexane and chlorobenzene degradation [PATH:ko00361]	
ko00623	00623 Toluene degradation [PATH:ko00623]	
ko00622	00622 Xylene degradation [PATH:ko00622]	
ko00633	00633 Nitrotoluene degradation [PATH:ko00633]	
ko00642	00642 Ethylbenzene degradation [PATH:ko00642]	
ko00643	00643 Styrene degradation [PATH:ko00643]	
ko00791	00791 Atrazine degradation [PATH:ko00791]	
ko00930	00930 Caprolactam degradation [PATH:ko00930]	
ko00363	00363 Bisphenol degradation [PATH:ko00363]	
ko00621	00621 Dioxin degradation [PATH:ko00621]	
ko00626	00626 Naphthalene degradation [PATH:ko00626]	
ko00624	00624 Polycyclic aromatic hydrocarbon degradation [PATH:ko00624]	
ko00365	00365 Furfural degradation [PATH:ko00365]	
ko00984	00984 Steroid degradation [PATH:ko00984]	
ko00980	00980 Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	
ko00982	00982 Drug metabolism - cytochrome P450 [PATH:ko00982]	
ko00983	00983 Drug metabolism - other enzymes [PATH:ko00983]	
ko09113	09113 Global maps only	
ko03020	03020 RNA polymerase [PATH:ko03020]	
ko03022	03022 Basal transcription factors [PATH:ko03022]	
ko03040	03040 Spliceosome [PATH:ko03040]	
ko03010	03010 Ribosome [PATH:ko03010]	
ko00970	00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]	
ko03013	03013 Nucleocytoplasmic transport [PATH:ko03013]	
ko03015	03015 mRNA surveillance pathway [PATH:ko03015]	
ko03008	03008 Ribosome biogenesis in eukaryotes [PATH:ko03008]	
ko03060	03060 Protein export [PATH:ko03060]	
ko04141	04141 Protein processing in endoplasmic reticulum [PATH:ko04141]	
ko04130	04130 SNARE interactions in vesicular transport [PATH:ko04130]	
ko04120	04120 Ubiquitin mediated proteolysis [PATH:ko04120]	
ko04122	04122 Sulfur relay system [PATH:ko04122]	
ko03050	03050 Proteasome [PATH:ko03050]	
ko03018	03018 RNA degradation [PATH:ko03018]	
ko03030	03030 DNA replication [PATH:ko03030]	
ko03410	03410 Base excision repair [PATH:ko03410]	
ko03420	03420 Nucleotide excision repair [PATH:ko03420]	
ko03430	03430 Mismatch repair [PATH:ko03430]	
ko03440	03440 Homologous recombination [PATH:ko03440]	
ko03450	03450 Non-homologous end-joining [PATH:ko03450]	
ko03460	03460 Fanconi anemia pathway [PATH:ko03460]	
ko03230	03230 Viral genome structure [PATH:ko03230]	
ko03240	03240 Viral replication [PATH:ko03240]	
ko03250	03250 Viral life cycle - HIV-1 [PATH:ko03250]	
ko03260	03260 Virion - Human immunodeficiency virus [PATH:ko03260]	
ko03262	03262 Virion - Coronavirus [PATH:ko03262]	
ko03261	03261 Virion - Influenza A virus [PATH:ko03261]	
ko03263	03263 Virion - Enterovirus [PATH:ko03263]	
ko03264	03264 Virion - Flavivirus [PATH:ko03264]	
ko03265	03265 Virion - Lyssavirus [PATH:ko03265]	
ko03266	03266 Virion - Herpesvirus [PATH:ko03266]	
ko03268	03268 Virion - Orthopoxvirus [PATH:ko03268]	
ko03267	03267 Virion - Adenovirus [PATH:ko03267]	
ko02010	02010 ABC transporters [PATH:ko02010]	T
ko02060	02060 Phosphotransferase system (PTS) [PATH:ko02060]	T
ko03070	03070 Bacterial secretion system [PATH:ko03070]	T
ko02020	02020 Two-component system [PATH:ko02020]	
ko04010	04010 MAPK signaling pathway [PATH:ko04010]	
ko04013	04013 MAPK signaling pathway - fly [PATH:ko04013]	
ko04016	04016 MAPK signaling pathway - plant [PATH:ko04016]	
ko04011	04011 MAPK signaling pathway - yeast [PATH:ko04011]	
ko04012	04012 ErbB signaling pathway [PATH:ko04012]	
ko04014	04014 Ras signaling pathway [PATH:ko04014]	
ko04015	04015 Rap1 signaling pathway [PATH:ko04015]	
ko04310	04310 Wnt signaling pathway [PATH:ko04310]	
ko04330	04330 Notch signaling pathway [PATH:ko04330]	
ko04340	04340 Hedgehog signaling pathway [PATH:ko04340]	
ko04341	04341 Hedgehog signaling pathway - fly [PATH:ko04341]	
ko04350	04350 TGF-beta signaling pathway [PATH:ko04350]	
ko04390	04390 Hippo signaling pathway [PATH:ko04390]	
ko04391	04391 Hippo signaling pathway - fly [PATH:ko04391]	
ko04392	04392 Hippo signaling pathway - multiple species [PATH:ko04392]	
ko04370	04370 VEGF signaling pathway [PATH:ko04370]	
ko04371	04371 Apelin signaling pathway [PATH:ko04371]	
ko04630	04630 JAK-STAT signaling pathway [PATH:ko04630]	
ko04064	04064 NF-kappa B signaling pathway [PATH:ko04064]	
ko04668	04668 TNF signaling pathway [PATH:ko04668]	
ko04066	04066 HIF-1 signaling pathway [PATH:ko04066]	
ko04068	04068 FoxO signaling pathway [PATH:ko04068]	
ko04020	04020 Calcium signaling pathway [PATH:ko04020]	
ko04070	04070 Phosphatidylinositol signaling system [PATH:ko04070]	
ko04072	04072 Phospholipase D signaling pathway [PATH:ko04072]	
ko04071	04071 Sphingolipid signaling pathway [PATH:ko04071]	
ko04024	04024 cAMP signaling pathway [PATH:ko04024]	
ko04022	04022 cGMP-PKG signaling pathway [PATH:ko04022]	
ko04151	04151 PI3K-Akt signaling pathway [PATH:ko04151]	
ko04152	04152 AMPK signaling pathway [PATH:ko04152]	
ko04150	04150 mTOR signaling pathway [PATH:ko04150]	
ko04075	04075 Plant hormone signal transduction [PATH:ko04075]	
ko04080	04080 Neuroactive ligand-receptor interaction [PATH:ko04080]	
ko04060	04060 Cytokine-cytokine receptor interaction [PATH:ko04060]	
ko04061	04061 Viral protein interaction with cytokine and cytokine receptor [PATH:ko04061]	
ko04512	04512 ECM-receptor interaction [PATH:ko04512]	
ko04514	04514 Cell adhesion molecules [PATH:ko04514]	
ko04144	04144 Endocytosis [PATH:ko04144]	
ko04145	04145 Phagosome [PATH:ko04145]	
ko04142	04142 Lysosome [PATH:ko04142]	
ko04146	04146 Peroxisome [PATH:ko04146]	
ko04140	04140 Autophagy - animal [PATH:ko04140]	
ko04138	04138 Autophagy - yeast [PATH:ko04138]	
ko04136	04136 Autophagy - other [PATH:ko04136]	
ko04137	04137 Mitophagy - animal [PATH:ko04137]	
ko04139	04139 Mitophagy - yeast [PATH:ko04139]	
ko04110	04110 Cell cycle [PATH:ko04110]	
ko04111	04111 Cell cycle - yeast [PATH:ko04111]	
ko04112	04112 Cell cycle - Caulobacter [PATH:ko04112]	
ko04113	04113 Meiosis - yeast [PATH:ko04113]	
ko04114	04114 Oocyte meiosis [PATH:ko04114]	
ko04210	04210 Apoptosis [PATH:ko04210]	
ko04214	04214 Apoptosis - fly [PATH:ko04214]	
ko04215	04215 Apoptosis - multiple species [PATH:ko04215]	
ko04216	04216 Ferroptosis [PATH:ko04216]	
ko04217	04217 Necroptosis [PATH:ko04217]	
ko04115	04115 p53 signaling pathway [PATH:ko04115]	
ko04218	04218 Cellular senescence [PATH:ko04218]	
ko04510	04510 Focal adhesion [PATH:ko04510]	
ko04520	04520 Adherens junction [PATH:ko04520]	
ko04530	04530 Tight junction [PATH:ko04530]	
ko04540	04540 Gap junction [PATH:ko04540]	
ko04550	04550 Signaling pathways regulating pluripotency of stem cells [PATH:ko04550]	
ko02024	02024 Quorum sensing [PATH:ko02024]	T
ko05111	05111 Biofilm formation - Vibrio cholerae [PATH:ko05111]	
ko02025	02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]	
ko02026	02026 Biofilm formation - Escherichia coli [PATH:ko02026]	
ko02030	02030 Bacterial chemotaxis [PATH:ko02030]	T
ko02040	02040 Flagellar assembly [PATH:ko02040]	T
ko04810	04810 Regulation of actin cytoskeleton [PATH:ko04810]	
ko04640	04640 Hematopoietic cell lineage [PATH:ko04640]	
ko04610	04610 Complement and coagulation cascades [PATH:ko04610]	
ko04611	04611 Platelet activation [PATH:ko04611]	
ko04613	04613 Neutrophil extracellular trap formation [PATH:ko04613]	
ko04620	04620 Toll-like receptor signaling pathway [PATH:ko04620]	
ko04624	04624 Toll and Imd signaling pathway [PATH:ko04624]	
ko04621	04621 NOD-like receptor signaling pathway [PATH:ko04621]	
ko04622	04622 RIG-I-like receptor signaling pathway [PATH:ko04622]	
ko04623	04623 Cytosolic DNA-sensing pathway [PATH:ko04623]	
ko04625	04625 C-type lectin receptor signaling pathway [PATH:ko04625]	
ko04650	04650 Natural killer cell mediated cytotoxicity [PATH:ko04650]	
ko04612	04612 Antigen processing and presentation [PATH:ko04612]	
ko04660	04660 T cell receptor signaling pathway [PATH:ko04660]	
ko04658	04658 Th1 and Th2 cell differentiation [PATH:ko04658]	
ko04659	04659 Th17 cell differentiation [PATH:ko04659]	
ko04657	04657 IL-17 signaling pathway [PATH:ko04657]	
ko04662	04662 B cell receptor signaling pathway [PATH:ko04662]	
ko04664	04664 Fc epsilon RI signaling pathway [PATH:ko04664]	
ko04666	04666 Fc gamma R-mediated phagocytosis [PATH:ko04666]	
ko04670	04670 Leukocyte transendothelial migration [PATH:ko04670]	
ko04672	04672 Intestinal immune network for IgA production [PATH:ko04672]	
ko04062	04062 Chemokine signaling pathway [PATH:ko04062]	
ko04911	04911 Insulin secretion [PATH:ko04911]	
ko04910	04910 Insulin signaling pathway [PATH:ko04910]	
ko04922	04922 Glucagon signaling pathway [PATH:ko04922]	
ko04923	04923 Regulation of lipolysis in adipocytes [PATH:ko04923]	
ko04920	04920 Adipocytokine signaling pathway [PATH:ko04920]	
ko03320	03320 PPAR signaling pathway [PATH:ko03320]	
ko04929	04929 GnRH secretion [PATH:ko04929]	
ko04912	04912 GnRH signaling pathway [PATH:ko04912]	
ko04913	04913 Ovarian steroidogenesis [PATH:ko04913]	
ko04915	04915 Estrogen signaling pathway [PATH:ko04915]	
ko04914	04914 Progesterone-mediated oocyte maturation [PATH:ko04914]	
ko04917	04917 Prolactin signaling pathway [PATH:ko04917]	
ko04921	04921 Oxytocin signaling pathway [PATH:ko04921]	
ko04926	04926 Relaxin signaling pathway [PATH:ko04926]	
ko04935	"04935 Growth hormone synthesis, secretion and action [PATH:ko04935]"	
ko04918	04918 Thyroid hormone synthesis [PATH:ko04918]	
ko04919	04919 Thyroid hormone signaling pathway [PATH:ko04919]	
ko04928	"04928 Parathyroid hormone synthesis, secretion and action [PATH:ko04928]"	
ko04916	04916 Melanogenesis [PATH:ko04916]	
ko04924	04924 Renin secretion [PATH:ko04924]	
ko04614	04614 Renin-angiotensin system [PATH:ko04614]	
ko04925	04925 Aldosterone synthesis and secretion [PATH:ko04925]	
ko04927	04927 Cortisol synthesis and secretion [PATH:ko04927]	
ko04260	04260 Cardiac muscle contraction [PATH:ko04260]	
ko04261	04261 Adrenergic signaling in cardiomyocytes [PATH:ko04261]	
ko04270	04270 Vascular smooth muscle contraction [PATH:ko04270]	
