target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	5840.2	14	0.502132
ApoEc1_719trans	315	4264.06	0	0
ApoEc1_750trans	462	322.78	0	0
ApoEc1_1163trans	324	185.372	0	0
ApoEc1_1164trans	444	6836.2	0	0
ApoEc1_1769trans	315	176.635	0	0
ApoEc1_1805trans	375	5431.15	3.55531	0.137121
ApoEc1_2088trans	489	349.78	0	0
ApoEc1_2214trans	300	161.945	0.972129	1.2574
ApoEc1_2672trans	1044	5504.64	0.00139381	5.30385e-05
ApoEc1_3432trans	534	394.746	0	0
ApoEc1_4567trans	399	259.854	5.67402	4.57382
ApoEc1_4674trans	345	5424.99	12	0.46334
ApoEc1_4919trans	399	259.854	0	0
ApoEc1_6235trans	339	200.127	0	0
ApoEc1_6236trans	468	7668.02	3.26999	0.0893264
ApoEc1_7080trans	318	3738.4	55	3.08173
ApoEc1_7183trans	357	5120.95	0	0
ApoEc1_7368trans	396	5696.92	1	0.0367686
ApoEc1_7391trans	306	167.87	0	0
ApoEc1_7393trans	495	355.78	49.1793	28.9546
ApoEc1_7394trans	495	8313.73	0	0
ApoEc1_7491trans	522	2399.92	3.53908	0.308895
ApoEc1_8106trans	522	382.746	1.15993	0.634805
ApoEc1_8303trans	309	1370.52	0	0
ApoEc1_8304trans	315	6273.07	1.02321	0.0341667
ApoEc1_8306trans	399	1936.87	0	0
ApoEc1_9284trans	300	4713.2	3	0.133328
ApoEc1_9293trans	405	265.806	10.2241	8.05708
ApoEc1_9488trans	306	1026.46	0	0
ApoEc1_9490trans	585	13903.6	1.07558	0.0162044
ApoEc1_9620trans	441	7016.4	0	0
ApoEc1_10498trans	441	7609.44	132	3.63361
ApoEc1_11074trans	468	8645.15	0	0
ApoEc1_11144trans	1032	20045.3	395.41	4.13192
ApoEc1_11145trans	585	9437.39	1.44512	0.0320753
ApoEc1_11232trans	348	6152.36	38	1.29378
ApoEc1_11534trans	1137	27336.4	375.305	2.87581
ApoEc1_12163trans	333	4486.9	0	0
ApoEc1_12328trans	618	11074.1	0	0
ApoEc1_12460trans	357	218.071	0	0
ApoEc1_12893trans	525	8600.28	1.28743	0.0313566
ApoEc1_12985trans	315	3982.32	0	0
ApoEc1_13281trans	444	1584.64	0	0
