target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	904.525	28	7.18708
ApoEc1_719trans	315	744.663	0	0
ApoEc1_750trans	462	1439.63	42	6.7735
ApoEc1_1163trans	324	196.158	0	0
ApoEc1_1164trans	444	316.032	0	0
ApoEc1_1769trans	315	424.813	0	0
ApoEc1_1805trans	375	247.053	1.68802	1.58636
ApoEc1_2088trans	489	361.003	0	0
ApoEc1_2214trans	300	694.002	0	0
ApoEc1_2672trans	1044	3976.95	0	0
ApoEc1_3432trans	534	406.003	0	0
ApoEc1_4567trans	399	721.613	0	0
ApoEc1_4674trans	345	876.163	151	40.0135
ApoEc1_4919trans	399	1123.04	1.66041	0.343269
ApoEc1_6235trans	339	211.109	0	0
ApoEc1_6236trans	468	1296.12	5.6782	1.01714
ApoEc1_7080trans	318	678.803	115	39.3341
ApoEc1_7183trans	357	933.556	19.52	4.85462
ApoEc1_7368trans	396	1107.16	59.5453	12.4869
ApoEc1_7391trans	306	842.021	5.38198	1.484
ApoEc1_7393trans	495	1590.12	0	0
ApoEc1_7394trans	495	1500.1	0	0
ApoEc1_7491trans	522	935.511	0	0
ApoEc1_8106trans	522	394.003	22.8388	13.4582
ApoEc1_8303trans	309	537.654	0.186757	0.0806469
ApoEc1_8304trans	315	544.597	0	0
ApoEc1_8306trans	399	764.302	22.7618	6.91443
ApoEc1_9284trans	300	715.373	7	2.27185
ApoEc1_9293trans	405	1072.37	30.2235	6.54357
ApoEc1_9488trans	306	816.743	1.27912	0.363613
ApoEc1_9490trans	585	2472.5	39.993	3.75545
ApoEc1_9620trans	441	637.262	0	0
ApoEc1_10498trans	441	1360.11	352.307	60.1399
ApoEc1_11074trans	468	1569.48	72.3004	10.6955
ApoEc1_11144trans	1032	3196.96	617.193	44.8228
ApoEc1_11145trans	585	1584.18	1.41918	0.207993
ApoEc1_11232trans	348	977.553	224	53.2013
ApoEc1_11534trans	1137	4739.22	22.2294	1.08902
ApoEc1_12163trans	333	873.519	19.8089	5.26506
ApoEc1_12328trans	618	1738.49	0	0
ApoEc1_12460trans	357	974.719	0	0
ApoEc1_12893trans	525	1364.93	2	0.3402
ApoEc1_12985trans	315	187.173	3.10345	3.84961
ApoEc1_13281trans	444	1220.82	9.5987	1.82547
ApoEc1_13282trans	345	217.109	3.43294	3.67116
ApoEc1_13768trans	408	1154.66	11.1894	2.24991
ApoEc1_13869trans	384	1139.59	3.31265	0.674906
ApoEc1_13870trans	636	2156.4	12.4464	1.34008
ApoEc1_13871trans	1071	4150.83	7.63472	0.427044
ApoEc1_13873trans	804	3158.78	0	0
ApoEc1_13874trans	492	364.003	0	0
ApoEc1_14061trans	855	3400.3	0	0
ApoEc1_14062trans	408	1294.58	758.463	136.026
ApoEc1_15335trans	462	1751.6	306.917	40.6819
ApoEc1_15850trans	396	1055.21	15.5444	3.42021
ApoEc1_15852trans	306	178.261	0	0
ApoEc1_17401trans	900	3358.74	208	14.3781
ApoEc1_17775trans	429	1177.05	1.09156	0.215312
ApoEc1_17959trans	858	1580.06	0	0
ApoEc1_19027trans	543	2048.35	0	0
ApoEc1_19028trans	408	1432.37	1.17824	0.190982
ApoEc1_19029trans	1290	2805.96	0	0
ApoEc1_19093trans	651	523.003	0	0
ApoEc1_19094trans	438	1438.34	0	0
ApoEc1_19096trans	612	484.003	0	0
ApoEc1_19099trans	588	1938.06	8.54608	1.0238
ApoEc1_19100trans	390	262.032	0	0
ApoEc1_19228trans	321	193.158	0	0
ApoEc1_19229trans	720	2683.68	26.4014	2.28408
ApoEc1_19231trans	303	745.574	1.05292	0.327882
ApoEc1_19336trans	1020	3885.03	0	0
ApoEc1_19337trans	369	241.073	0	0
ApoEc1_19338trans	354	919.79	15.3717	3.88014
ApoEc1_19411trans	450	1194.37	0	0
ApoEc1_19432trans	297	639.102	4.53802	1.64858
ApoEc1_19433trans	336	758.257	92.7552	28.4012
ApoEc1_19638trans	402	1031.96	146	32.8478
ApoEc1_19748trans	399	1199.52	119.648	23.1586
ApoEc1_20479trans	534	1496.69	94.8083	14.7072
ApoEc1_20482trans	348	771.131	109.606	33.0007
ApoEc1_21169trans	357	1060.01	19.7923	4.33513
ApoEc1_21921trans	336	890.705	2.30536	0.600924
ApoEc1_21923trans	429	1145.97	1.46387	0.296581
ApoEc1_21932trans	399	1020.17	72.2574	16.4447
ApoEc1_21933trans	435	1346.62	2.51037	0.432819
ApoEc1_21940trans	450	754.622	9.53971	2.93509
ApoEc1_21941trans	537	1590.04	17.7013	2.58471
ApoEc1_21942trans	303	611.778	47.8345	18.1536
ApoEc1_22156trans	450	1360.32	58.1825	9.93039
