target_id	length	eff_length	est_counts	tpm
ApoEc1_136trans	333	845.553	25	5.43903
ApoEc1_719trans	315	167.969	7.91308	8.6664
ApoEc1_750trans	462	310.29	0	0
ApoEc1_1163trans	324	176.193	0	0
ApoEc1_1164trans	444	292.395	0	0
ApoEc1_1769trans	315	167.969	0	0
ApoEc1_1805trans	375	1029.51	2.39974	0.428803
ApoEc1_2088trans	489	337.205	0	0
ApoEc1_2214trans	300	154.253	3.47387	4.14289
ApoEc1_2672trans	1044	2164.84	0	0
ApoEc1_3432trans	534	382.082	2.12522	1.02322
ApoEc1_4567trans	399	248.101	6.69264e-06	4.9624e-06
ApoEc1_4674trans	345	865.083	136	28.9203
ApoEc1_4919trans	399	1170.16	1.95644	0.30757
ApoEc1_6235trans	339	190.36	0	0
ApoEc1_6236trans	468	1401.36	15.7325	2.06524
ApoEc1_7080trans	318	719.916	130	33.2188
ApoEc1_7183trans	357	478.018	9.01519	3.46939
ApoEc1_7368trans	396	1148.31	1.10598	0.177178
ApoEc1_7391trans	306	844.94	18.7312	4.07813
ApoEc1_7393trans	495	1653.77	0	0
ApoEc1_7394trans	495	1648.81	2.0207	0.225452
ApoEc1_7491trans	522	370.082	0	0
ApoEc1_8106trans	522	370.082	0	0
ApoEc1_8303trans	309	883.776	0	0
ApoEc1_8304trans	315	167.969	0	0
ApoEc1_8306trans	399	637.924	0	0
ApoEc1_9284trans	300	763.168	6	1.44628
ApoEc1_9293trans	405	1174.15	13.9206	2.18101
ApoEc1_9488trans	306	159.68	1.10497	1.27298
ApoEc1_9490trans	585	2204.02	1.03119	0.0860686
ApoEc1_9620trans	441	289.496	2.21927	1.41023
ApoEc1_10498trans	441	1447.58	328	41.6826
ApoEc1_11074trans	468	1603.43	20.6396	2.36795
ApoEc1_11144trans	1032	3815.67	2038.03	98.2567
ApoEc1_11145trans	585	1795.18	33.7695	3.4605
ApoEc1_11232trans	348	932.79	145	28.5961
ApoEc1_11534trans	1137	4796.81	6.62683	0.254141
ApoEc1_12163trans	333	878.07	7.0331	1.47347
ApoEc1_12328trans	618	466.048	7.987	3.15265
ApoEc1_12460trans	357	207.512	0	0
ApoEc1_12893trans	525	1576.39	20	2.33393
ApoEc1_12985trans	315	386.112	1.1745	0.559578
ApoEc1_13281trans	444	292.395	0	0
ApoEc1_13282trans	345	195.987	0	0
ApoEc1_13768trans	408	572.084	23.9385	7.69767
ApoEc1_13869trans	384	1192.15	0	0
ApoEc1_13870trans	636	2397.04	7.93577	0.609026
ApoEc1_13871trans	1071	4654.34	0	0
ApoEc1_13873trans	804	652.048	0	0
ApoEc1_13874trans	492	340.205	0	0
ApoEc1_14061trans	855	703.048	0	0
ApoEc1_14062trans	408	1282.2	587.808	84.3337
ApoEc1_15335trans	462	1624.19	318.187	36.0385
ApoEc1_15850trans	396	1058.35	96.8517	16.8344
ApoEc1_15852trans	306	159.68	10.1202	11.6589
ApoEc1_17401trans	900	3729.87	617	30.4309
ApoEc1_17775trans	429	277.592	0	0
ApoEc1_17959trans	858	706.048	6.22884	1.62291
ApoEc1_19027trans	543	936.811	0	0
ApoEc1_19028trans	408	256.775	0	0
ApoEc1_19029trans	1290	2791.13	490.021	32.2966
ApoEc1_19093trans	651	2503.84	1.11821	0.0821556
ApoEc1_19094trans	438	1494.73	45.4783	5.59712
ApoEc1_19096trans	612	2327.23	1.10146	0.0870664
ApoEc1_19099trans	588	2030.35	14.4583	1.30999
